"filename", "language", "JSON with Comments", "JavaScript", "JSON", "TypeScript", "HTML", "CSS", "XML", "Markdown", "SCSS", "comment", "blank", "total"
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\components\search-bar\widgets\vuelos\opcion1\opcion1.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\components\search-bar\widgets\vuelos\opcion1\opcion1.component.html", "HTML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 0, 8
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\components\search-bar\widgets\vuelos\opcion1\opcion1.component.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\components\search-bar\widgets\vuelos\opcion3\opcion3.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\components\search-bar\widgets\vuelos\opcion3\opcion3.component.html", "HTML", 0, 0, 0, 0, 29, 0, 0, 0, 0, 3, 0, 32
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\components\search-bar\widgets\vuelos\opcion3\opcion3.component.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 0, 0, 0, 3, 7, 45
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\components\search-bar\widgets\vuelos\opcion3\opcion3.service.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\components\search-bar\widgets\vuelos\opcion4\opcion4.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\components\search-bar\widgets\vuelos\opcion4\opcion4.component.html", "HTML", 0, 0, 0, 0, 20, 0, 0, 0, 0, 3, 0, 23
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\components\search-bar\widgets\vuelos\opcion4\opcion4.component.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 5, 27
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\components\search-bar\widgets\vuelos\opcion4\opcion4.service.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\home.component.css", "CSS", 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 5, 16
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\home.component.html", "HTML", 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 2, 65
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\home.component.ts", "TypeScript", 0, 0, 0, 81, 0, 0, 0, 0, 0, 1, 16, 98
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\pages\alojamiento\alojamiento.component.css", "CSS", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\app\home\pages\alojamiento\alojamiento.component.html", "HTML", 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 82
